Text,Cipher,IC,Top9Letters,Top5Bigrams
vjgvgpfgpeaqhoqfgtpuekgpegkuvqtgfwegrtqqhvqcduwtfkvadaeqpvkpwcnnatgfwekpicduwtfkvavqrtqqh,ceaser,0.0594994892747701,qgvptfeka,gp qh vq fg pe
cnxcnzrhsroiodvdqrhodcrolv,MonoalphabeticSubstitution,0.0646153846153846,rocdnhvxz,ro oc cd dn nh
rhljjdzmwkhnmhcvkvdnmxlcjhebzhikothiwnhbostgsctfiuomdhvzpj,Vigenere,0.042952208106473,hjmdzkncv,hj jm md dz zk
gesxnrextdnhnutxhigeenlxweixihnxotnxlgax,ColumnarTransposition,0.0846153846153846,xnegthils,xn ne eg gt th
isyoteabbsvetfelidenhpontrghgrehaoxeuceftdnerthldectematlaulreastraahe,ColumnarTransposition,0.0658385093167701,etahrlsod,et ta ah hr rl
pwenizewctluwamapidmowvmqnpmpilbismvixwttqvmogxb,ceaser,0.0487588652482269,mwiptvenl,pi mo vm pw we
cvyfcypychxygiwluwsvywuomycnlyfyumymnbyyhylacymizypylsboguhvycha,ceaser,0.0863095238095238,ychlumvwf,vy yc yf cy yp
enmknpnhvqfuyhqgqfkvhvybelbxiuybkbtnpnxbkunhqbjlnkknppjbquhq,MonoalphabeticSubstitution,0.063276836158192,nbkqhpuvy,nb bk kq qh hp
nhcwhkgudeddkrpjvlhcebcskrzciqcegelpjrukjuwfxnerhmppjvkvn,Vigenere,0.0432330827067669,ckehrpjnu,ck ke eh hr rp
kljmrzlkteylmqtrzeqkhojzholkbvjhhorkajyhrgqmjytetlzhexjpjtatjygojxhlyzeezflgjqklexketleholynrklrzdrkrfml,MonoalphabeticSubstitution,0.0608663181478715,ljkerhzty,lj jk ke er rh
qrvrlqbvribsrktubnbfoaidbvtubaxfkbcnxltuyjckhrkxbeog,Vigenere,0.0482654600301659,brkvtuxql,br rk kv vt tu
mmgvjcawdurreyuufnjfvtpkvlmimhseqerygwgcwjedsgalzlmb,Vigenere,0.0346907993966817,mgevjwurl,mg ge ev vj jw
blifcsyhkepwytgotdnuxikqjdnbxslbeufdkhofggyefwshajhbejb,Vigenere,0.0363636363636363,bfhesykgd,bf fh he es sy
uqywusigpatjmauajpueishfzcyqbvcvbnfzjdolrrvopfjdgyodce,Vigenere,0.0307477288609364,ujypafcvd,uj jy yp pa af
qjwmahjfkhanwkpfyngwjhan,MonoalphabeticSubstitution,0.0615942028985507,jwahnfkqm,jw wa ah hn nf
hyhubgrjpxvwkdyhklvgdb,ceaser,0.0389610389610389,hybgvkdur,yh hy hu ub bg
vstrzvufdqqqhbqfvrcttlelumuvbkfwvnbkfweealtyuephsbeelkbidb,Vigenere,0.0471869328493647,bevtufqlk,be ev vt tu uf
qnwwnlcwnkejhljjkttpnlctlhqewwxelehkwreckehwvttjznkewrhw,MonoalphabeticSubstitution,0.0766233766233766,wenlkhtjc,we en nl lk kh
bxyjfxyrahlfvaxghbzmxuujtajmuvxkenjgegupvfhajnuruxmjdwdz,Vigenere,0.0474025974025974,xjuafhvgm,xj ju ua af fh
aolwlyzphuzhylclyfmvukvmdpulpapzhszvaolpynlulyhswyhjapjlavklspilyhalbwvuhmmhpyzvmdlpnoadoluaolfhylkyburhukaolupuaoltvyupundoluaolfhylzvilyaolkljpzpvuavdopjoaolfjhtlaolupnoailmvylpzwbailmvylaoltifaolthzalyvmaolovbzlpudopjopadhzthklhukpmpapzaoluhwwyvclkaolfhjavupapmuvaaolfzlapahzpklzvtlaptlzovdlclyaolfhylzvilyhaaolpympyzaklspilyhapvuzibapuaopzjhzlaolfhsdhfzyljvuzpklyaolthaalybuklyaolpumsblujlvmdpul,ceaser,0.0753768844221105,lapoyuhzv,ol ao ly ap yl
esraxhrotxhvtocirelotefsewdsattiamn,ColumnarTransposition,0.0521008403361344,tesraoxhi,te es sr ra ao
kjdrcorbeewqzbmhdnzwxbzoruyspukxulzhsqelfvincmlhcpaopcs,Vigenere,0.0309764309764309,czrobehus,cz zr ro ob be
yotfeokwuxaotdtwttnsnlheouaolxtoarn,ColumnarTransposition,0.06890756302521,otanewuxl,ot ta an ne ew
xznsozvicyocvsiruhduz,MonoalphabeticSubstitution,0.0428571428571428,zsovicuxn,zs so ov vi ic
adwvsxkswisadwuspbmbpbivbbmubiebtdib,MonoalphabeticSubstitution,0.0809523809523809,bsidwavup,bs si id dw wa
ctiaaeenihtxapvbnhxotsexpcntoreistfxleeoot,ColumnarTransposition,0.0638792102206736,texoianch,te ex xo oi ia
yeisqfsjyeocqftcuejisqsqjezdeqsqnjzeetzctevnzeolsuetjcqe,MonoalphabeticSubstitution,0.0811688311688311,eqsjctzyi,eq qs sj jc ct
saalxoiieorltpxnscteunrsheispxornyxyncctgiuorpmmax,ColumnarTransposition,0.0481632653061224,xsoirnaet,xs so oi ir rn
dhnotoxaayybnrsayltuxndatucxhrbohnxedovetxhldeeex,ColumnarTransposition,0.0578231292517006,xedhnotay,xe ed dh hn no
puvpbtnqseswtpuwsppsetnptzhtjctjvxbtnqtnhcuvrswssjkjpserksqsc,MonoalphabeticSubstitution,0.0699453551912568,stpnjuvqe,st tp pn nj ju
fnnvofaafvpxaffmrpmhpnrmageetabrtrmvzwrnabrnrirgafiabrpwdgm,MonoalphabeticSubstitution,0.0689655172413793,rafnmpvgb,ra af fn nm mp
efdjefxijdijtuifmjofpgdpoevduuibuqsftfoutuifgfxftuesbxcbdltboeuifogpmmpxjupvubtcfjohuifcftupofcfdbvtfpofofwfsgjoetbozuijohqfsgfdumzqvsfboevonjyfepsfyfnqugspnebohfs,ceaser,0.064303567371052,fuoejtpbi,ui tu if jo of
oauheyvedsaardaxspdteinxgerdneaaheeuvstxowstdrdg,ColumnarTransposition,0.0638297872340425,eadsrxtou,ea ad ds sr rx
hfablhjohwsgusmaocrwvokslldkyeiwvgwaankxowuzqlzcmhzgod,Vigenere,0.0384346610761705,owhalsgkz,ow wh ha al ls
xzmodopyzdnijooczoznojaxzmovdiotrzcvqzwzzixjxfnpmzjahvitocdibnocvorzmzijonj,ceaser,0.0742342342342342,zoijnxmdc,zm oc xz mo ij
ztkictfxkgzlaoxoyjycowsyyfojkiowpceqrxyocapw,Vigenere,0.0496828752642706,oyckxwzti,oy yc ck kx xw
ygglvzgswlohddgfvcsllxwnxxkxzuxlfzgkonxkvwlonxzxvazgccvyhlxcmvaxzgcxvuzxbuvedxlngscxcnvzmvuvhwcov,MonoalphabeticSubstitution,0.0672250859106529,xvglzcnwo,xv vg gl lz zc
nutcxluesqrloxbuhxeuotn,MonoalphabeticSubstitution,0.0553359683794466,uxntleocs,ux xn nt tl le
ntktxsfyzynxjrlgmdlofzugyxelxbcbcunbsxtuhnvropnnclgeqx,Vigenere,0.0419287211740041,nxltygubc,nx xl lt ty yg
djxnmfajitzgyjinmfajbfsijwjitkkymjufymgzynfqbfdxwjyzwsnynxnsyznynajfsnsywnsxnhgznqynsxjsxjtkinwjhyntsnxjjrfqbfdxytknsirdbfdmtrj,ceaser,0.064991876015498,njyfsxitd,yn ns bf xn aj
mxdkccqnvjwfqxbfnjabcxqrbmnexcrxw,ceaser,0.0568181818181818,xcqnbmjwf,mx xd dk kc cc
wflstjpirjrimthbzhfsrith,MonoalphabeticSubstitution,0.0543478260869565,tirhfsjwl,ti ir rh hf fs
eocmjctquobz,Vigenere,0.0303030303030303,ocemjtqub,oc ce em mj jt
atnsehieaftxnsttcadhhitnsaenmxpdigoxrelfexibrerx,ColumnarTransposition,0.0567375886524822,etxanishr,et tx xa an ni
xzriwwasurixbqsuruxnhjwsuulbijwlrxojikaklioshtvuxlhojxobnxrchojeigikwvgnugiobasujxauwriwuxviqlhvuim,MonoalphabeticSubstitution,0.0556586270871985,iuxwrjosh,iu ux xw wr rj
ftqyaefuybadfmzfrmofmnagfebmoqetubqmdftmzuzefdgofuaznaawpupzfoayqiuftuf,ceaser,0.0680080482897384,faumztqeo,ft ef fu df fm
ufclmlczyqcqfgqjgdcmlnpglagnjc99ncpaclrmdfgqbcagqgmlqypcyjpcybwkybc,ceaser,0.0692307692307692,cglqympfj,ml gq cl fg ag
leqefulxcguyelocbcquinoyqu,MonoalphabeticSubstitution,0.0615384615384615,uleqcyofx,ul le eq qc cy
jxuikssuiivkbcqdyixumxemxudxuiuuijxqjdevkhjxuhsuhjqydjoyiqjjqydqrbufhecfjbotusytuiedjxuceijfherqrbuiytuqiyvxumuhusecfbujuboikhuyjmqihywxj,ceaser,0.0666595105195362,ujixqyheb,xu ui jx uh bu
ieeedhgtgxnswrrelhrxvhkhntnhaxsaikmedinxhfleenmifeethooreeaxtorteodwrceticaaitrx,ColumnarTransposition,0.0658227848101265,ehtrixnao,eh ht tr ri ix
curaexpolswwebesnxanasaaktanrxrsturs,ColumnarTransposition,0.0682539682539682,asrexnuwt,as sr re ex xn
ozfayefrielueltfldziadwtf,MonoalphabeticSubstitution,0.0566666666666666,felzaitdo,fe el lz za ai
ylpenbikdnsifxuinttaxhgeueyxtndmbnxiectfaxoleioyr,ColumnarTransposition,0.0476190476190476,enixtylbd,en ni ix xt ty
pchvqvcwqsgofsdowbtizpihcbzmcbswghvsfodsihwq,ceaser,0.0507399577167019,schwvqobi,hv wq ih cb pc
flclxxlnclxdrdpqmsnvdlf,MonoalphabeticSubstitution,0.075098814229249,lxdfcnrpq,lx xd df fc cn
pjbhivovirpoihicvpfnerusetefeeotnohideoyrtgorrimxdhsfuccnieodgxtuotsux,ColumnarTransposition,0.0525879917184265,oierthupv,oi ie er rt th
wuujenklxvbafxarcnelxlrdpfaxsjmwetgkphxhxlvoanxerulxfmlmonekvxva,Vigenere,0.0510912698412698,xleanvukf,xl le ea an nv
cgesunetadioehaxwinhtwlxpaywoshedvrhutrxowldhlnhisfilboxeeutduuxaonhssnennteeiar,ColumnarTransposition,0.0534810126582278,enhsutaio,en nh hs su ut
xurquexuwqbxmkuzsmhuaxuzuzbgnxuomzpxqmdzuzsftquzefdgyqzfmeazqsaqeaz,ceaser,0.0710085933966531,uzqxmeasf,uz xu qu zs zu
pgradvagegreelyemqxuvreot,MonoalphabeticSubstitution,0.06,egravpdly,eg gr ra av vp
hytoeeorrteaoudxnahndunxtritvbrhognidedxiidcyonettaaortxchoslsexewucrhueurtoasox,ColumnarTransposition,0.0604430379746835,oterxhaud,ot te er rx xh
hiadorteodnscxildehexvnegctxtlyararetdauao,ColumnarTransposition,0.0534262485481997,aedtorxhi,ae ed dt to or
danxrvnthrseooanaesrsduwhyextewxowrxnaax,ColumnarTransposition,0.0641025641025641,axnresowd,ax xn nr re es
eaitmfpaiqpamzkftuzseayqftuzseaxazsmeiqvgefpazfeufftqdquriqeodqiufgbefmdfahqdfdkeayqftuzsqxequriqimufgzfuxiqhqemfueruqpmxxftqgzoqdfmuzfuqeufymknqfaaxmfq,ceaser,0.0703206692227256,fqueamzit,iq ft ea uz zs
cvmxlilaoimxihtcadenswnirduxneodkcytehce,ColumnarTransposition,0.0423076923076923,ciexdnmla,ci ie ex xd dn
kltxwgwqqngtszqqgzbosgicwthidcdxidcexeztnidvscxfkukzis,Vigenere,0.0461215932914046,itxgqszcd,it tx xg gq qs
ovhxdnqaeforrkpfjisxnhmyczcjwtujrbvxmjjeqrnntogneosnbgcf,Vigenere,0.037012987012987,njorxefcv,nj jo or rx xe
nsnivnxsbzvfslvxsnxfbz,MonoalphabeticSubstitution,0.0909090909090909,nsvxbzfil,ns sv vx xb bz
crcxdngfyooktuuiimkqqqghokcqerxkqikorytnxyudkswreeo,Vigenere,0.0494117647058823,koqrcxyui,ko oq qr rc cx
jwqdidppacaiqdbhbghwrfqhlzqhwfadjdcuhvmrleqbyxsgnjho,Vigenere,0.0407239819004524,hqdjwabip,hq qd dj jw wa
tmniflatxkivdpltehlolfqtnldldhagguazannovazqjganoledysnhaz,Vigenere,0.0520266182698124,lantdhogz,la an nt td dh
inxhwjyntsnsxujjhmnxrtwjymfsjqtvzjshj,ceaser,0.0675675675675675,jnsxhtwym,nx wj jy in xh
mtvsvynsqximrlrwngiqfxxnnajzhxxgrmutsqjtclqdwspjwmpib,Vigenere,0.0384615384615384,xmsnqtirw,xm ms sn nq qt
ibqsfhowbhmobrsldsqhohwcbofshvsxcmgctzwtsgsqifwhmwgobwbgwdwrhvwbu,ceaser,0.0634615384615384,wbshogqfm,wb ho hm ob sq
ldmadxsdtcbxgeeemxeraautfpwhoaeosnlxiuoncxncrnox,ColumnarTransposition,0.0487588652482269,xeaondclm,xe ea ao on nd
mrxlijegisjyrgivxemrxcxlivimwrsxlmrkavsrkamxllsti,ceaser,0.0671768707482993,rximlsvje,xl mr rx li gi
asmzkuelvfcluhishuzvolzgcltsftlvulkcmuuelgasmzkqfscbczgebnlusps,MonoalphabeticSubstitution,0.057347670250896,lsuzcmkev,ls su uz zc cm
jbwtrabcbubwsfjbwbnfxfjrtlqlfqxryfrdwfcflbpufnefrqnfrfwetlf,MonoalphabeticSubstitution,0.0783167738164815,fbrwljtnq,fb br rw wl lj
bbzyyxcndauhkmnlmeyvstljktdbipaexovuqmedoyiqbdery,Vigenere,0.0357142857142857,ybdemxnau,yb bd de em mx
ygkcypatpwpzlknfogfsahjdojushdkqtcdegueziqivrwcpnqvcj,Vigenere,0.0297532656023222,cpgkjdqya,cp pg gk kj jd
lsrvhbphkcwlruhszccksywzwzadhyskrscktrzwctphiltygryvryiktpj,MonoalphabeticSubstitution,0.0531852717708942,rshkcywzt,rs sh hk kc cy
tajtoljstuuzgyzumtpjsnoemnyszlaujemzlzjwuqjqwtauqujgojkipauuz,MonoalphabeticSubstitution,0.0633879781420765,ujztaolsm,uj jz zt ta ao
vgotoytkbkxvkxsgtktz,ceaser,0.0842105263157894,tkvgoxybs,tk kx vg go ot
mupwyszlhywfmjtuworviuykpsqyydiydzkkrktpjxmuibjayptnjb,Vigenere,0.0433263452131376,yupjkmwti,yu up pj jk km
