Text,Cipher,IC,Letter_1,Letter_2,Letter_3,Letter_4,Letter_5,Letter_6,Letter_7,Letter_8,Letter_9,Bigram_1,Bigram_2,Bigram_3,Bigram_4,Bigram_5
aolzvbsvmkpzwhajopzkljpzpvu,ceaser,0.0569800569800569,z,p,v,a,o,l,k,j,b,pz,ao,ol,lz,zv
mjiipwyggiwwjypalirxliavmxmrkksiwaippxlmwpewxwjmziqmryxiwsrgialirmaewryqfivsrisrxlifiwxwippivpmwxmepwsjipxwyggiwwjypxlexpewxihxlviiqmryxiw,ceaser,0.0790225325293557,i,w,x,p,m,r,y,l,j,iw,xl,ip,li,wx
ozybnnhdvhyerlksblifvtskzajepqkvzfxhcrkcwulvjgnowuihpgz,Vigenere,0.0296296296296296,z,h,v,k,n,l,o,y,b,zh,hv,vk,kn,nl
jyspqsjcyuvytdjfiekvtd,MonoalphabeticSubstitution,0.0432900432900432,j,y,s,v,t,d,p,q,c,jy,ys,sv,vt,td
grwzxmrsdqqodudsseorzvpqld,MonoalphabeticSubstitution,0.0523076923076923,d,r,s,q,z,o,g,w,x,dr,rs,sq,qz,zo
dhnugbktspmtlkgbrkhbn,MonoalphabeticSubstitution,0.0476190476190476,b,k,h,n,g,t,d,u,s,bk,kh,hn,ng,gt
eeutlxanltexddybcxheprhdbehyox,ColumnarTransposition,0.0597701149425287,e,x,d,h,t,l,y,b,u,ex,xd,dh,ht,tl
crvnqjbcxumvnunbbcqjwrwnnmcxtwxf,ceaser,0.0625,n,c,b,x,w,r,v,q,j,vn,qj,bc,cx,cr
uzeujuznouyplldupqlsm,MonoalphabeticSubstitution,0.0714285714285714,u,l,z,p,e,j,n,o,y,ul,lz,zp,pe,ej
nsilnshnjsinyedxgnjspyxxyo,MonoalphabeticSubstitution,0.0738461538461538,n,s,y,x,i,j,l,h,e,ns,sy,yx,xi,ij
strluihflgsieiotnelxbsawhowhsheahlxlttixpodrt,ColumnarTransposition,0.0545454545454545,t,l,h,s,i,e,o,x,r,tl,lh,hs,si,ie
zevfwdnmtnmhxfhxenmekkhxhnwqdnnhxwfhvexzgghnghghixhwzp,MonoalphabeticSubstitution,0.0775681341719077,h,n,x,e,w,g,z,f,m,hn,nx,xe,ew,wg
rweuwxwjtcnwffplqxixnhhswcmriescgwh,Vigenere,0.0504201680672268,w,x,c,h,r,e,n,f,i,wx,xc,ch,hr,re
heauixuhncfxovmonhaoidtxlctllxcrdoaxfimnoessesty,ColumnarTransposition,0.0452127659574468,x,o,h,e,a,i,n,c,t,xo,oh,he,ea,ai
agjjephbwpjfxjwepkgejxajzpehdpbmrooagsozvhigmxrsbexszxrox,MonoalphabeticSubstitution,0.0513784461152882,j,x,e,p,g,o,a,h,b,jx,xe,ep,pg,go
vjgvgpfgpeaqhoqfgtpuekgpegkuvqtgfwegrtqqhvqcduwtfkvadaeqpvkpwcnnatgfwekpicduwtfkvavqrtqqh,ceaser,0.0594994892747701,q,g,v,p,t,f,e,k,a,gp,qh,vq,fg,pe
cnxcnzrhsroiodvdqrhodcrolv,MonoalphabeticSubstitution,0.0646153846153846,r,o,c,d,n,h,v,x,z,ro,oc,cd,dn,nh
rhljjdzmwkhnmhcvkvdnmxlcjhebzhikothiwnhbostgsctfiuomdhvzpj,Vigenere,0.042952208106473,h,j,m,d,z,k,n,c,v,hj,jm,md,dz,zk
gesxnrextdnhnutxhigeenlxweixihnxotnxlgax,ColumnarTransposition,0.0846153846153846,x,n,e,g,t,h,i,l,s,xn,ne,eg,gt,th
isyoteabbsvetfelidenhpontrghgrehaoxeuceftdnerthldectematlaulreastraahe,ColumnarTransposition,0.0658385093167701,e,t,a,h,r,l,s,o,d,et,ta,ah,hr,rl
pwenizewctluwamapidmowvmqnpmpilbismvixwttqvmogxb,ceaser,0.0487588652482269,m,w,i,p,t,v,e,n,l,pi,mo,vm,pw,we
cvyfcypychxygiwluwsvywuomycnlyfyumymnbyyhylacymizypylsboguhvycha,ceaser,0.0863095238095238,y,c,h,l,u,m,v,w,f,vy,yc,yf,cy,yp
enmknpnhvqfuyhqgqfkvhvybelbxiuybkbtnpnxbkunhqbjlnkknppjbquhq,MonoalphabeticSubstitution,0.063276836158192,n,b,k,q,h,p,u,v,y,nb,bk,kq,qh,hp
nhcwhkgudeddkrpjvlhcebcskrzciqcegelpjrukjuwfxnerhmppjvkvn,Vigenere,0.0432330827067669,c,k,e,h,r,p,j,n,u,ck,ke,eh,hr,rp
kljmrzlkteylmqtrzeqkhojzholkbvjhhorkajyhrgqmjytetlzhexjpjtatjygojxhlyzeezflgjqklexketleholynrklrzdrkrfml,MonoalphabeticSubstitution,0.0608663181478715,l,j,k,e,r,h,z,t,y,lj,jk,ke,er,rh
qrvrlqbvribsrktubnbfoaidbvtubaxfkbcnxltuyjckhrkxbeog,Vigenere,0.0482654600301659,b,r,k,v,t,u,x,q,l,br,rk,kv,vt,tu
mmgvjcawdurreyuufnjfvtpkvlmimhseqerygwgcwjedsgalzlmb,Vigenere,0.0346907993966817,m,g,e,v,j,w,u,r,l,mg,ge,ev,vj,jw
blifcsyhkepwytgotdnuxikqjdnbxslbeufdkhofggyefwshajhbejb,Vigenere,0.0363636363636363,b,f,h,e,s,y,k,g,d,bf,fh,he,es,sy
uqywusigpatjmauajpueishfzcyqbvcvbnfzjdolrrvopfjdgyodce,Vigenere,0.0307477288609364,u,j,y,p,a,f,c,v,d,uj,jy,yp,pa,af
qjwmahjfkhanwkpfyngwjhan,MonoalphabeticSubstitution,0.0615942028985507,j,w,a,h,n,f,k,q,m,jw,wa,ah,hn,nf
hyhubgrjpxvwkdyhklvgdb,ceaser,0.0389610389610389,h,y,b,g,v,k,d,u,r,yh,hy,hu,ub,bg
vstrzvufdqqqhbqfvrcttlelumuvbkfwvnbkfweealtyuephsbeelkbidb,Vigenere,0.0471869328493647,b,e,v,t,u,f,q,l,k,be,ev,vt,tu,uf
qnwwnlcwnkejhljjkttpnlctlhqewwxelehkwreckehwvttjznkewrhw,MonoalphabeticSubstitution,0.0766233766233766,w,e,n,l,k,h,t,j,c,we,en,nl,lk,kh
bxyjfxyrahlfvaxghbzmxuujtajmuvxkenjgegupvfhajnuruxmjdwdz,Vigenere,0.0474025974025974,x,j,u,a,f,h,v,g,m,xj,ju,ua,af,fh
aolwlyzphuzhylclyfmvukvmdpulpapzhszvaolpynlulyhswyhjapjlavklspilyhalbwvuhmmhpyzvmdlpnoadoluaolfhylkyburhukaolupuaoltvyupundoluaolfhylzvilyaolkljpzpvuavdopjoaolfjhtlaolupnoailmvylpzwbailmvylaoltifaolthzalyvmaolovbzlpudopjopadhzthklhukpmpapzaoluhwwyvclkaolfhjavupapmuvaaolfzlapahzpklzvtlaptlzovdlclyaolfhylzvilyhaaolpympyzaklspilyhapvuzibapuaopzjhzlaolfhsdhfzyljvuzpklyaolthaalybuklyaolpumsblujlvmdpul,ceaser,0.0753768844221105,l,a,p,o,y,u,h,z,v,ol,ao,ly,ap,yl
esraxhrotxhvtocirelotefsewdsattiamn,ColumnarTransposition,0.0521008403361344,t,e,s,r,a,o,x,h,i,te,es,sr,ra,ao
kjdrcorbeewqzbmhdnzwxbzoruyspukxulzhsqelfvincmlhcpaopcs,Vigenere,0.0309764309764309,c,z,r,o,b,e,h,u,s,cz,zr,ro,ob,be
yotfeokwuxaotdtwttnsnlheouaolxtoarn,ColumnarTransposition,0.06890756302521,o,t,a,n,e,w,u,x,l,ot,ta,an,ne,ew
xznsozvicyocvsiruhduz,MonoalphabeticSubstitution,0.0428571428571428,z,s,o,v,i,c,u,x,n,zs,so,ov,vi,ic
adwvsxkswisadwuspbmbpbivbbmubiebtdib,MonoalphabeticSubstitution,0.0809523809523809,b,s,i,d,w,a,v,u,p,bs,si,id,dw,wa
ctiaaeenihtxapvbnhxotsexpcntoreistfxleeoot,ColumnarTransposition,0.0638792102206736,t,e,x,o,i,a,n,c,h,te,ex,xo,oi,ia
yeisqfsjyeocqftcuejisqsqjezdeqsqnjzeetzctevnzeolsuetjcqe,MonoalphabeticSubstitution,0.0811688311688311,e,q,s,j,c,t,z,y,i,eq,qs,sj,jc,ct
saalxoiieorltpxnscteunrsheispxornyxyncctgiuorpmmax,ColumnarTransposition,0.0481632653061224,x,s,o,i,r,n,a,e,t,xs,so,oi,ir,rn
dhnotoxaayybnrsayltuxndatucxhrbohnxedovetxhldeeex,ColumnarTransposition,0.0578231292517006,x,e,d,h,n,o,t,a,y,xe,ed,dh,hn,no
puvpbtnqseswtpuwsppsetnptzhtjctjvxbtnqtnhcuvrswssjkjpserksqsc,MonoalphabeticSubstitution,0.0699453551912568,s,t,p,n,j,u,v,q,e,st,tp,pn,nj,ju
fnnvofaafvpxaffmrpmhpnrmageetabrtrmvzwrnabrnrirgafiabrpwdgm,MonoalphabeticSubstitution,0.0689655172413793,r,a,f,n,m,p,v,g,b,ra,af,fn,nm,mp
efdjefxijdijtuifmjofpgdpoevduuibuqsftfoutuifgfxftuesbxcbdltboeuifogpmmpxjupvubtcfjohuifcftupofcfdbvtfpofofwfsgjoetbozuijohqfsgfdumzqvsfboevonjyfepsfyfnqugspnebohfs,ceaser,0.064303567371052,f,u,o,e,j,t,p,b,i,ui,tu,if,jo,of
oauheyvedsaardaxspdteinxgerdneaaheeuvstxowstdrdg,ColumnarTransposition,0.0638297872340425,e,a,d,s,r,x,t,o,u,ea,ad,ds,sr,rx
hfablhjohwsgusmaocrwvokslldkyeiwvgwaankxowuzqlzcmhzgod,Vigenere,0.0384346610761705,o,w,h,a,l,s,g,k,z,ow,wh,ha,al,ls
xzmodopyzdnijooczoznojaxzmovdiotrzcvqzwzzixjxfnpmzjahvitocdibnocvorzmzijonj,ceaser,0.0742342342342342,z,o,i,j,n,x,m,d,c,zm,oc,xz,mo,ij
ztkictfxkgzlaoxoyjycowsyyfojkiowpceqrxyocapw,Vigenere,0.0496828752642706,o,y,c,k,x,w,z,t,i,oy,yc,ck,kx,xw
ygglvzgswlohddgfvcsllxwnxxkxzuxlfzgkonxkvwlonxzxvazgccvyhlxcmvaxzgcxvuzxbuvedxlngscxcnvzmvuvhwcov,MonoalphabeticSubstitution,0.0672250859106529,x,v,g,l,z,c,n,w,o,xv,vg,gl,lz,zc
nutcxluesqrloxbuhxeuotn,MonoalphabeticSubstitution,0.0553359683794466,u,x,n,t,l,e,o,c,s,ux,xn,nt,tl,le
ntktxsfyzynxjrlgmdlofzugyxelxbcbcunbsxtuhnvropnnclgeqx,Vigenere,0.0419287211740041,n,x,l,t,y,g,u,b,c,nx,xl,lt,ty,yg
djxnmfajitzgyjinmfajbfsijwjitkkymjufymgzynfqbfdxwjyzwsnynxnsyznynajfsnsywnsxnhgznqynsxjsxjtkinwjhyntsnxjjrfqbfdxytknsirdbfdmtrj,ceaser,0.064991876015498,n,j,y,f,s,x,i,t,d,yn,ns,bf,xn,aj
mxdkccqnvjwfqxbfnjabcxqrbmnexcrxw,ceaser,0.0568181818181818,x,c,q,n,b,m,j,w,f,mx,xd,dk,kc,cc
wflstjpirjrimthbzhfsrith,MonoalphabeticSubstitution,0.0543478260869565,t,i,r,h,f,s,j,w,l,ti,ir,rh,hf,fs
eocmjctquobz,Vigenere,0.0303030303030303,o,c,e,m,j,t,q,u,b,oc,ce,em,mj,jt
atnsehieaftxnsttcadhhitnsaenmxpdigoxrelfexibrerx,ColumnarTransposition,0.0567375886524822,e,t,x,a,n,i,s,h,r,et,tx,xa,an,ni
xzriwwasurixbqsuruxnhjwsuulbijwlrxojikaklioshtvuxlhojxobnxrchojeigikwvgnugiobasujxauwriwuxviqlhvuim,MonoalphabeticSubstitution,0.0556586270871985,i,u,x,w,r,j,o,s,h,iu,ux,xw,wr,rj
ftqyaefuybadfmzfrmofmnagfebmoqetubqmdftmzuzefdgofuaznaawpupzfoayqiuftuf,ceaser,0.0680080482897384,f,a,u,m,z,t,q,e,o,ft,ef,fu,df,fm
ufclmlczyqcqfgqjgdcmlnpglagnjc99ncpaclrmdfgqbcagqgmlqypcyjpcybwkybc,ceaser,0.0692307692307692,c,g,l,q,y,m,p,f,j,ml,gq,cl,fg,ag
leqefulxcguyelocbcquinoyqu,MonoalphabeticSubstitution,0.0615384615384615,u,l,e,q,c,y,o,f,x,ul,le,eq,qc,cy
jxuikssuiivkbcqdyixumxemxudxuiuuijxqjdevkhjxuhsuhjqydjoyiqjjqydqrbufhecfjbotusytuiedjxuceijfherqrbuiytuqiyvxumuhusecfbujuboikhuyjmqihywxj,ceaser,0.0666595105195362,u,j,i,x,q,y,h,e,b,xu,ui,jx,uh,bu
ieeedhgtgxnswrrelhrxvhkhntnhaxsaikmedinxhfleenmifeethooreeaxtorteodwrceticaaitrx,ColumnarTransposition,0.0658227848101265,e,h,t,r,i,x,n,a,o,eh,ht,tr,ri,ix
curaexpolswwebesnxanasaaktanrxrsturs,ColumnarTransposition,0.0682539682539682,a,s,r,e,x,n,u,w,t,as,sr,re,ex,xn
ozfayefrielueltfldziadwtf,MonoalphabeticSubstitution,0.0566666666666666,f,e,l,z,a,i,t,d,o,fe,el,lz,za,ai
ylpenbikdnsifxuinttaxhgeueyxtndmbnxiectfaxoleioyr,ColumnarTransposition,0.0476190476190476,e,n,i,x,t,y,l,b,d,en,ni,ix,xt,ty
pchvqvcwqsgofsdowbtizpihcbzmcbswghvsfodsihwq,ceaser,0.0507399577167019,s,c,h,w,v,q,o,b,i,hv,wq,ih,cb,pc
flclxxlnclxdrdpqmsnvdlf,MonoalphabeticSubstitution,0.075098814229249,l,x,d,f,c,n,r,p,q,lx,xd,df,fc,cn
pjbhivovirpoihicvpfnerusetefeeotnohideoyrtgorrimxdhsfuccnieodgxtuotsux,ColumnarTransposition,0.0525879917184265,o,i,e,r,t,h,u,p,v,oi,ie,er,rt,th
wuujenklxvbafxarcnelxlrdpfaxsjmwetgkphxhxlvoanxerulxfmlmonekvxva,Vigenere,0.0510912698412698,x,l,e,a,n,v,u,k,f,xl,le,ea,an,nv
