Text,Cipher,IC,Top9Letters
tosensdersycttxioonatcsnimpeeawhfimdeiitoshlhheelaenhegneagxtsngnhotsnaesns,ColumnarTransposition,0.07243243243243243,esnthoiag
rtibenfxthowrhosotysetceisddmaoxfinlattxhefoyouettrnvichsoaewatxehiulunx,ColumnarTransposition,0.054773082942097026,teoixhnsa
afrilsbvriioaxrnhentriteesaidoltmcyteweeaovuixaleesadaynpetkosrarrprwd,ColumnarTransposition,0.05921325051759834,earitsoln
aetrfdertmeosnhcmxnteuoxhmrrtfowfrnxtooakxwwheor,ColumnarTransposition,0.06382978723404255,roetxfmnh
wppeuieipstnroryaxsuabpxvcemaxhusneteiaacxosacba,ColumnarTransposition,0.05585106382978723,aepsxuict
eetrwnxfithtomrnhohgxekoseeddwrbriercwihba,ColumnarTransposition,0.0545876887340302,erhtwionx
odcqeeosicnnechifmaisnttfoomrnefcodgmeouoantn,ColumnarTransposition,0.06767676767676768,onecifmtd
nmlyoxtapanxameocooimhixdeyemxitldtxndedex,ColumnarTransposition,0.06620209059233449,xemodntai
mrmhxseanxshsnooiudxrievxetonxthfgxeemaxsnrix,ColumnarTransposition,0.06767676767676768,xesnmrhoi
ridoyoxlomlaoxavnfamdpiueftrtfoarfxnghhakxenarenx,ColumnarTransposition,0.05272108843537415,aoxrnfeid
ambnxselgxaaeixhtrytetkohtrfaxaaymxwiauateinxhmnwx,ColumnarTransposition,0.0653061224489796,axtemnihr
eolsnidgaectladnerrcxetniiyxafipdaxrllealntigibnx,ColumnarTransposition,0.061224489795918366,ielnaxdtr
nmgndaeyeoeriexxetsxelrlstthsxnpwnyrtgmxneiteaylet,ColumnarTransposition,0.07102040816326531,etnxyrslm
sischdlaoxettexnafnxtehrifftnxaleattnuteahooxegmir,ColumnarTransposition,0.06285714285714286,teaxnihof
eaeontsheghimvnroodhnfdgitehanieohtdgbueho,ColumnarTransposition,0.06852497096399536,ehontgida
dhnotoxaayybnrsayltuxndatucxhrbohnxedovetxhldeeex,ColumnarTransposition,0.05782312925170068,xedhnotay
heauixuhncfxovmonhaoidtxlctllxcrdoaxfimnoessesty,ColumnarTransposition,0.04521276595744681,xoheainct
rauaatdwdceeiprynwurxglidqdyaathaaxeuqdnnielancel,ColumnarTransposition,0.061224489795918366,adenruilt
yoiwxnldlceiisxdobthiuchxlwfyxanluieedoxptfaxdvetx,ColumnarTransposition,0.05142857142857143,xildeotyw
eenrxgcocxieeixaeihhepioxnrtwxhhtthhfhhxstnrddsoea,ColumnarTransposition,0.07265306122448979,hexitnroc
tscsineeitepngreirhaaeilxesienhtedohhvcsbpina,ColumnarTransposition,0.0707070707070707,eisnhtacp
doonnmpsxpsrhgathxrahatceoxaolevhcdrnpsiieeat,ColumnarTransposition,0.049494949494949494,aohenpsxr
dtfdxistarpqiwseeltxeucehoiyntoeobxxloaxffluxriido,ColumnarTransposition,0.052244897959183675,xieotdfls
ebooreepdtloswriptoosaslngireneaonlonusritbae,ColumnarTransposition,0.06868686868686869,oersntlia
ialniuwgttchssxtldsnhliegatirxoynnithcaxtihoxwuooy,ColumnarTransposition,0.05551020408163265,itnhxoals
oeeitgeeuvgthaoasdrvlnighnbelevrleaaetft,ColumnarTransposition,0.06923076923076923,etagvloih
tmedrlnnnteanxoeaneedasgosseshrlgiaitcstcx,ColumnarTransposition,0.06387921022067364,enstadrlx
rdtohhoriiiiesnggxaslfoopeudtrfeonnssoonfx,ColumnarTransposition,0.06155632984901278,oisnrefdt
geheracxthiydlaxdeotdiinaruaenadhttralexuhgvggnx,ColumnarTransposition,0.05851063829787234,aeghxtdri
ewedlxshtnbxdtherxrooeoxsgeaaxyhmrdxuurdnxllimpealtpax,ColumnarTransposition,0.05660377358490566,xedlrahto
reannexevsuunxdiattoepedmfaarciootnietsren,ColumnarTransposition,0.06504065040650407,enatrioxs
wcrnxllsadeamentriaxllouxiltdxtahmxhibixoebyxihftx,ColumnarTransposition,0.05877551020408163,xliatehrn
rlniexteatllwanvsxhweoexofinrxoryevftsaeeahetnht,ColumnarTransposition,0.06471631205673758,etnxarlho
nnnuhtnwgdieawxnghnxiaeooeetnaegimxeataxnnmyh,ColumnarTransposition,0.08282828282828283,neaxhtgiw
iioenexnbechofouloihxttfmmoxgsednoxhhtmapxnmrndsx,ColumnarTransposition,0.05697278911564626,oxnehmitf
alictaabhmgecaxtftnsiunextfuaoinhoxncefxnetsx,ColumnarTransposition,0.0595959595959596,atxneicfh
uisdeoeerococncpioieennsnxsvrononuxaenntextfansrx,ColumnarTransposition,0.08163265306122448,neosxircu
shshfolnaaripswbexhrrnrsoeeititoiuidfeeeenddx,ColumnarTransposition,0.0595959595959596,eisrhondf
gstnhyriohekahontaghwivoicefrwinwetenhda,ColumnarTransposition,0.05384615384615385,hnietoawg
iooobcftnneseyesgtwndlokotaoouwfehblynsotf,ColumnarTransposition,0.06504065040650407,otnefsbyw
awuiotrekrrolerohnanitarurrtehlcoetusgtanfnas,ColumnarTransposition,0.06666666666666667,ratoenuil
mataxneexxitsgxbofroitwnxhsonsyamiutoaix,ColumnarTransposition,0.06025641025641026,xationsme
ylpenbikdnsifxuinttaxhgeueyxtndmbnxiectfaxoleioyr,ColumnarTransposition,0.047619047619047616,enixtylbd
rrpeoxtcnynxnnenesroseaxefirixeedrtxffhptxieiasn,ColumnarTransposition,0.07624113475177305,exnritsfp
wmharxelteexodmotxrosrdxmaaloxohtsmxnaovhxfhoens,ColumnarTransposition,0.06914893617021277,xomhaerts
slediwaxgwenpetoitbeawrntureathxhopttnhxridvcnod,ColumnarTransposition,0.04964539007092199,tendiwaxo
febciebnduhfnxohekssureeypstthnirixualnoox,ColumnarTransposition,0.04413472706155633,eniuhxosf
nrhcedzdeaoeresnlheyapgyafhlefwdraiietmled,ColumnarTransposition,0.06155632984901278,edarhlnyf
iefhonhhnthooucnesnwiaubnbsehdgadtlettotso,ColumnarTransposition,0.0627177700348432,hontesiua
ldnhxlaeoxunksxrlohdfaeexcfrtxiiuaxorwuxhehhxfdtlx,ColumnarTransposition,0.06448979591836734,xhledaour
ossnoosenettnhoanuvabaaxapnthdoadoiwhiostl,ColumnarTransposition,0.0743321718931475,oansthedi
thndexlehhauoitaexereeycvgdwlxdtaabyaywhskenelnx,ColumnarTransposition,0.05851063829787234,eahxtndly
ssooxweccxhshexeocpxndseuhtnwxebunlhoifeeulirklldf,ColumnarTransposition,0.05551020408163265,exsohlcnu
shcexiaeihndntximitcwniixwbgwxoahwxttthhnrwni,ColumnarTransposition,0.07474747474747474,ihxntwcea
feuehbtssefuxivonxormbgeneherxpteunxedanaxestnot,ColumnarTransposition,0.0673758865248227,exntusofh
lultdryanrliyelsixdsaefnigxassviehneyewrftsux,ColumnarTransposition,0.051515151515151514,esliryanx
eaasodaetressnrvefesiedxpdlempeymnrnfotr,ColumnarTransposition,0.06923076923076923,esradnotf
fnnhiugaodryratnaoieoswbavnelesiarixfthentgtf,ColumnarTransposition,0.050505050505050504,naiteforh
hiadorteodnscxildehexvnegctxtlyararetdauao,ColumnarTransposition,0.053426248548199766,aedtorxhi
ianaahwaelflaoxeretxeihgxhlsnxsbhsymstddliwrx,ColumnarTransposition,0.052525252525252523,axhelsinw
sdtroislawfnuaeodhrhlfntltttnxlteayxeisiag,ColumnarTransposition,0.05226480836236934,tlasinedr
pgdredpnuodeairhetcmescxoonorhaicreerterpthpahax,ColumnarTransposition,0.06382978723404255,erpoahdtc
nvsieonhotnetshiyhoxcigpsnipaxxrcieeeutsolonx,ColumnarTransposition,0.06060606060606061,nieosxhtc
ldmadxsdtcbxgeeemxeraautfpwhoaeosnlxiuoncxncrnox,ColumnarTransposition,0.04875886524822695,xeaondclm
odewitenesshanynlemebathtyexgnsitvxugaaghe,ColumnarTransposition,0.059233449477351915,etnashgiy
strluihflgsieiotnelxbsawhowhsheahlxlttixpodrt,ColumnarTransposition,0.05454545454545454,tlhsieoxr
eiorxedkoxonoexsodhrnyrtedwofxnnotxubonhferpxtklax,ColumnarTransposition,0.06857142857142857,oxenrdtkh
sdwdvbssanushydialaosllhleroldtyhaerumwateesx,ColumnarTransposition,0.05656565656565657,saldehwuy
icnthdsxeolwueexeoohsioxlndicasxrdutstnf,ColumnarTransposition,0.05128205128205128,sxeointdc
nhselnnmnxosneuadatxdrnnxicsbloefoxnenixpueraitocy,ColumnarTransposition,0.06285714285714286,nexosailu
desrotvrhsbhgipdvxivadixsnwalxahnetenaseexiieuee,ColumnarTransposition,0.06205673758865248,eisxadvhn
mgipdnhcoygwgerendmrarithnaneeetsrlgoniaetirp,ColumnarTransposition,0.05858585858585859,enrgiatmp
afsdniteeovunxaunsiwxbcdetaxpsaegtxcostitolcnrbsx,ColumnarTransposition,0.05102040816326531,stxaneioc
rehidiedxelcoecaixmyiuuwstxesstnhhexalfanrhcn,ColumnarTransposition,0.050505050505050504,ehixcasnr
aaaendglttndntirudeepnhntoohiiteghmsesif,ColumnarTransposition,0.06153846153846154,entiadhgo
nhvhndcndeoulgmhexusnnhxsieasxogetwliorroxtooecx,ColumnarTransposition,0.0549645390070922,onexhsdcu
leebeagpfrailnxdvhfdheuepvmigxynbenritouhheit,ColumnarTransposition,0.048484848484848485,eihnlbagp
nnnfvafplsgxlgaiarenphtedrlaexdycoasaeiydwsiirnh,ColumnarTransposition,0.04875886524822695,anielsrdf
nuiaxcoeaxonmpxcodetfihfaiarynettoghlerisnsrx,ColumnarTransposition,0.046464646464646465,niaxoetrc
lnvnirexntdcaairpgesoedxfaaronqfaieotsrxirnylwuo,ColumnarTransposition,0.04964539007092199,nraieoxlt
oatotrinsctnhnaphohaatdaelifdedinloxeuel,ColumnarTransposition,0.05897435897435897,aotneihdl
odnaislcoonxntvxpilnstodiiudnecnohainsye,ColumnarTransposition,0.06794871794871794,noidsalcx
basgfdunhiesenfhibdoemlsnginleiflsuondeily,ColumnarTransposition,0.06155632984901278,nieslfdbg
rrqmeeetxceuehfcrxoanhhlhnnelinatoyxfdistdtui,ColumnarTransposition,0.049494949494949494,ethnrxicu
qwdennashnnnenxumsgdeoeixeeabaoehticctnnsfheg,ColumnarTransposition,0.07272727272727272,enashdxgo
hfanbweetctuiwehqattxneunnhxdiacoaxtorietf,ColumnarTransposition,0.059233449477351915,teanhixfw
tesoerxmenaunindeeffxhdsfroxsahsimxonnrfgt,ColumnarTransposition,0.05807200929152149,ensxfortm
anroieanslcxtataexcdholxregftdhhranoemedguttermd,ColumnarTransposition,0.05585106382978723,eatrdnoxh
rtdsxyoasxennoxemhyoytloxourlxnyefxefnoxjoabxvealm,ColumnarTransposition,0.06693877551020408,xoeynalrt
atnsehieaftxnsttcadhhitnsaenmxpdigoxrelfexibrerx,ColumnarTransposition,0.05673758865248227,etxanishr
sssltventrressxerctyaniixeohhxneeloygtefewiio,ColumnarTransposition,0.06565656565656566,estinrxol
otaeoixrnhhltxritccddolsasnaweddsmxsueetahfrrieex,ColumnarTransposition,0.05357142857142857,etaxrdsoi
nupauxsdpeoaemaycxtnhlexdhnlixfwrrpxecsllxooeafr,ColumnarTransposition,0.04875886524822695,xealnporu
mmaonxaohnnxtttepnttseexhihoexanubeochetdxebddtx,ColumnarTransposition,0.07712765957446809,texnohadm
ndnomanhebifadinioectnenlhvgoaeeeiga,ColumnarTransposition,0.0761904761904762,neaiodhgm
ctiaaeenihtxapvbnhxotsexpcntoreistfxleeoot,ColumnarTransposition,0.06387921022067364,texoianch
unvrgoexprnyancotioortixuoytleonrenlnmsyraeeeftx,ColumnarTransposition,0.06294326241134751,noertxyua
awecdetlexrncoxnohcohekrlvhywxocthceinhxemeiudillx,ColumnarTransposition,0.05959183673469388,ecxhloniw
owrotxairesxptctoxcnewsxerfwaxbahkhdrsenhxmiiroxaodtex,ColumnarTransposition,0.0593990216631726,xoretawis
enanymsttxeeahxioohonrnmnhydelrottxmccex,ColumnarTransposition,0.06153846153846154,entxomhay
rluanfnerhgalyuiuhoyrpditaxtunapscctohthafere,ColumnarTransposition,0.047474747474747475,aruhtnelf
lebnoxeastoxielifxiepteemhootrodshnxtfnechfbieex,ColumnarTransposition,0.07092198581560284,eoxtinfhl
dtneiatiernlmfoosensshemhdsttleisahxiaufts,ColumnarTransposition,0.06387921022067364,steinahdl
toosxoinexltttascuhxfedhxisrmxmeaexihyhd,ColumnarTransposition,0.057692307692307696,xtehosiad
edtthshotrcbtaxeetnenwwyeoeaoxiownxiadhxbtueglnncx,ColumnarTransposition,0.061224489795918366,etxnohawd
yotuxbmorxmntwaeglaxehfoxyandxnonenauordhwafxtngsx,ColumnarTransposition,0.05795918367346939,xnoateyum
eineniadwndrgsnyrlihusramigiyetdolmnorel,ColumnarTransposition,0.05641025641025641,inerdlags
sdefrsuateoeslducxlmeaaxrhnrfllerlrxeahshx,ColumnarTransposition,0.06852497096399536,erlsaxhdf
masanedalxghohdrenoxstsweoeosxustndwemaxvlfex,ColumnarTransposition,0.05858585858585859,esxaondml
tacnxrgoehnmenxyledxpntetrrnoxaiwixpdprteeacxoersa,ColumnarTransposition,0.06285714285714286,exnrtaopc
nlrrfhextywsgarxcyolnoanrtaaoraxoostddcdunieoctx,ColumnarTransposition,0.05585106382978723,oranxtcdl
aneuiexahlshsxanoaetkpeeyladpcwdlherdrsgaxeavrmvx,ColumnarTransposition,0.05612244897959184,aexhlsdrn
rhreatefemiensotolwehysieaseeonwnnetmghnin,ColumnarTransposition,0.08130081300813008,enhtisora
hjteeoxovisatowaoornsdedhwwxuecetyxlreettx,ColumnarTransposition,0.06387921022067364,etoxwhsar
erfpidslehaaebvtisraomtepydelnceratxtmorix,ColumnarTransposition,0.04994192799070848,eratipdsl
jotuexicfhddirsnexufhstxneaosxteralxsheetx,ColumnarTransposition,0.06155632984901278,extshouif
sayebheaonnruiadenaeicnxpeestsnxmlhftshxrtrlnaex,ColumnarTransposition,0.061170212765957445,enasxhrti
tvdyxnaaaxlgtusfodhlichuxtrollefogeneosxodndxhitrx,ColumnarTransposition,0.04979591836734694,xotdlnahe
afvhiotaiwevadworeserrcnsieesnistntesehdir,ColumnarTransposition,0.07084785133565621,eisratnvh
duewxtnbtxweoghethoxipnaahssnesaenvhdeox,ColumnarTransposition,0.06025641025641026,exnhtoasd
xcseoxnirlfxihosrxaheesshyroenebnsaxttohnnewdpse,ColumnarTransposition,0.06560283687943262,esxnohria
benadgsanepmtextoldxnyticemeextasnxibfdnedonemenpx,ColumnarTransposition,0.07346938775510205,enxdtambs
taoshnahhtrfhdeosrheeeclbttieoetwer,ColumnarTransposition,0.08235294117647059,ethorasnf
eldacntatrfsexlihaooxpreweascybrtdiitefnmxufymidc,ColumnarTransposition,0.041666666666666664,eatidcrfx
incoixbkasesswoihxheteoitehptxayernthohirxtntnex,ColumnarTransposition,0.06826241134751773,etixhnosa
oreliynnpxachifstnatcaogxnioennhenxcogeotstdo,ColumnarTransposition,0.06363636363636363,noetixach
eocauacbvtntjeonferbctwlxsrtltnesdxohauxdsnexuuedx,ColumnarTransposition,0.053061224489795916,etxunocas
nenhfynnttfftdhremstoynxavegilewudtxeayverantero,ColumnarTransposition,0.06028368794326241,entfyrahd
sbdiindhhnoatetdahneiweetkehaamttedheennsx,ColumnarTransposition,0.0859465737514518,enhtdaisb
lassdlefxterldteernadshnarfomyeeomsoblulibhlx,ColumnarTransposition,0.05555555555555555,lesadrofx
edttaxanyhaynireexhebshngdblrxbeutexvghetxiuefwx,ColumnarTransposition,0.06205673758865248,exthanbdy
saalxoiieorltpxnscteunrsheispxornyxyncctgiuorpmmax,ColumnarTransposition,0.04816326530612245,xsoirnaet
ohvanucsreenediclnvhcyrysleufteeowrouoef,ColumnarTransposition,0.057692307692307696,eonucrhvs
atncurieuuedhhfirstxceccntadntmtuixmesaxnwsreieeer,ColumnarTransposition,0.0653061224489796,etncurias
oauheyvedsaardaxspdteinxgerdneaaheeuvstxowstdrdg,ColumnarTransposition,0.06382978723404255,eadsrxtou
sodenpavyxdtaxdooytxpteaxfaennobmaerhrtxiiniianetg,ColumnarTransposition,0.05959183673469388,aenxtoidp
pihbayroearsonibsxfarldxislrflsstoeahelpee,ColumnarTransposition,0.056910569105691054,esarlioph
npnhteiameybpxdotohnedisuaarsthdeaxinslvhxapeseep,ColumnarTransposition,0.05782312925170068,eanphstix
mmagnmheeontneethbaaitgeahewiniegtsdninhannan,ColumnarTransposition,0.09696969696969697,neahtimgo
rafvxaihixsfslxheibdcteexnitlheosextchyainuexifdld,ColumnarTransposition,0.05795918367346939,xiehafsld
lehaxuaesothensadtufhanthsvalxermhaueoershrue,ColumnarTransposition,0.07373737373737374,ehaustrlx
cinntixasuseehlleserulodubiohtdshtxucaenwxsispest,ColumnarTransposition,0.05952380952380952,seitunxhl
eecstsxrcaefaheoulewxrtatihxehlsrixneroccxfttuhex,ColumnarTransposition,0.06972789115646258,extcrhsaf
sevdrxanaepyauslexideeoxpdoeixtwbasxhoerpxehwrtxpltirx,ColumnarTransposition,0.06429070580013976,exrapsdio
dbtscsclteydnalahrcoaeanlaaiunlhooulblex,ColumnarTransposition,0.06153846153846154,lacenodbt
gesoexseiieeethdbxucanhxitlfaxaxosnenalidxnpnccn,ColumnarTransposition,0.06560283687943262,exniascot
eshoxsgresusaeetedmeinoeeiurtxjidsrfiudxhndoxdaafx,ColumnarTransposition,0.0653061224489796,esxdiorua
tnoshschpadodarueyodspaooietvnnmpohramsrhe,ColumnarTransposition,0.05807200929152149,oshanpdre
rrgteeylteianstoaategeaoldhfhnmegpntateecdmal,ColumnarTransposition,0.07272727272727272,etaglnrod
twltadedlwehhhdhnehluokedrodlaoolacxaefaph,ColumnarTransposition,0.07317073170731707,hladeotwn
nmrhpueyoxsfahxiiateiennrsddesthedtdhaiegslexilgtx,ColumnarTransposition,0.05714285714285714,eihxstdna
muaexkwisxiucpmnsctarteudansredscvxnyeaxnosexabvhx,ColumnarTransposition,0.05142857142857143,xaesnucmi
asoeayladfnhlysxamthoasdneuenvtxhorsdnin,ColumnarTransposition,0.05384615384615385,ansoedhyl
esubuuwftulbahrhoxertcdxprosnxsohtdtpeietxnrayoo,ColumnarTransposition,0.04875886524822695,toeurxshb
hrnfthndrnhxinuosxscaindeaocyxiifhaabhvscxgiosex,ColumnarTransposition,0.0549645390070922,hnxisaocr
aoemiwuoxooeeadlnletiiroqcxnsbvmeeeurnlhrhotd,ColumnarTransposition,0.05555555555555555,eoilnramu
eteenaexalvhqtwrnobweerxnieoulexlanoatexeheltshx,ColumnarTransposition,0.08599290780141844,extnalhow
welceernisyhsiwmofaahdaetatdsomtnetnhraa,ColumnarTransposition,0.05897435897435897,aetnshwri
eneritrfiinxeocuaahcntghudfytxfintsxcleuat,ColumnarTransposition,0.05226480836236934,tenifxcua
insxxowtexuhorxosiitrusunvccninietneahsoxomedatela,ColumnarTransposition,0.05795918367346939,inxoestua
sdenidxrvseerxsrcdrocdtehfneipnaotntoebcpeuihedux,ColumnarTransposition,0.06037414965986394,ednrsixco
ehaoareyhnaswxnuldcelioeenhorsrmserhteregd,ColumnarTransposition,0.06736353077816493,erhaonsld
ultnaafrilteaihrounltlaanaungteeubwnqneihsnlg,ColumnarTransposition,0.0707070707070707,naluteirh
csslnesxecnctniesucoidnxemelofgxtitreseshraecalh,ColumnarTransposition,0.06648936170212766,escnlxtio
cepwtdhnhaotesxoatoehatsxltitwtcnixurarrnawss,ColumnarTransposition,0.06060606060606061,tasewhnox
tetimolhveliyuleahrflloarkecafykivrltweoivnto,ColumnarTransposition,0.05656565656565657,letiovarh
nnhsxnoaexisarypydwaaamerntnexdlscxarynxaagsxmliex,ColumnarTransposition,0.07020408163265306,axnseryid
ieieexeioetxpgndfxdhthhxsaoioxtltfaeotatsn,ColumnarTransposition,0.07200929152148665,etxiohand
dewlfhldrhlaloedexlstoesuretefsyrchnorifbeoah,ColumnarTransposition,0.06060606060606061,elhrodfsa
sthlnuycixftosxniftufoncxveluieceisriensentaosledx,ColumnarTransposition,0.05877551020408163,esnitxluc
hfdrnosstoniinlafraessiwettbeehxocshusve,ColumnarTransposition,0.05512820512820513,sehnotifr
sdeaeinswyeiexiobptfetetrnrxaevhfdeshrtcfc,ColumnarTransposition,0.06039488966318235,etsifrdan
aptnusgnrnaussatleaecieoetopnoosnohfdrncnmhye,ColumnarTransposition,0.06161616161616162,neoastpur
oetrhwexwnheehexndetpimxhfssoaceeriefshdrincttsx,ColumnarTransposition,0.06914893617021277,ehtxsrnio
tyctioxlonlosloereoedsnecfcoataoitumdylnhd,ColumnarTransposition,0.06039488966318235,otlecndyi
itprfrltixjcheilulintouooyeosxueertassvxstsiydsmex,ColumnarTransposition,0.054693877551020405,sitexorlu
hoalhrentdistietrdhxooeaothfesvfrbuehaelsehzc,ColumnarTransposition,0.06161616161616162,ehotarsld
habfgretrernentxnlteoaseuheihmuxoleescshottlflbx,ColumnarTransposition,0.061170212765957445,ethlrnxos
lloaxefnehainsxeritigivghroamlabmwynoohg,ColumnarTransposition,0.046153846153846156,oailenhgx
mnwerdefofainnexrrttgtnxiamvpneopthruivxtoesahtx,ColumnarTransposition,0.054078014184397165,tnerxoaim
arkysrsallarlghittllcancedolkhleinhmfyea,ColumnarTransposition,0.06025641025641026,larhekysi
ovihxncwwxiechxreohacrtaxjovcsetidxewniydhoaxaenlx,ColumnarTransposition,0.05795918367346939,xeoihcanw
nrloannetfeeeobsehhbnotottkomatfsgtegurpiw,ColumnarTransposition,0.06155632984901278,etonrafbs
trarihsonnsxengnbxhyexwxhemcootlheyxoeoonm,ColumnarTransposition,0.06504065040650407,onxehtrsy
lverxybuhdaiepxeerexseownnsdbdbevexohwealelixlldsx,ColumnarTransposition,0.07346938775510205,exldbsvrh
tatoonhsrheaelxhthnmunoixsgttxrorwxtmbyxitiewthhhx,ColumnarTransposition,0.07020408163265306,thxonreia
eesgeeimnhbenrvyroandaeaftfdridinoixheihcdnao,ColumnarTransposition,0.06363636363636363,einadhrof
etnnraotodmtrnhreebhlsvghhexriattbgilgtodnheeaeex,ColumnarTransposition,0.06717687074829932,ethnraogd
mfhnnnnexedtuaielxremoyesbnvocrbaiaxoretdgsmx,ColumnarTransposition,0.048484848484848485,enxmarodt
maaidxavlhedentsoxneeehxosnmaxogthnxriaefxdrmtax,ColumnarTransposition,0.06648936170212766,xaenmdhto
enocrirxeeuesgoxdnataeixnomahhfxpchrendxdennuvat,ColumnarTransposition,0.06028368794326241,enxaordhc
siodhonnnptrghhlwiasreshnwtoiilsxunttofsmgahpeeeeasnmtxrariartaaixicarrcsglex,ColumnarTransposition,0.05741626794258373,asirnteho
uoevvticnngatloguidokwrcogtstefsnoghyorraeletsaekeiittsuobneegsnndeahn,ColumnarTransposition,0.05921325051759834,eotngsiau
eohiiinhisbeatntontadsihseapnihstiiorheiotnmmalcnadhdgisttmeitkadgrteasf,ColumnarTransposition,0.07394366197183098,itaehnsod
wgdutdsteufaemdsikmaoxmmeosrnanmxoawuboondsxrhodesoestxnnobeuwncoxatsllethrsx,ColumnarTransposition,0.05809979494190021,osexndtam
direcsixsbildsuxetcewtexapaiuthxirecoatxnetpoewxihkshbdxnutalioxhnisyoixtilelnft,ColumnarTransposition,0.060126582278481014,ixetslaho
ktslemehtscuetnorucndswneeaofatuctoioqwncviitaneonnxgeenrangrfscxiiemcssiheoex,ColumnarTransposition,0.061938061938061936,entscoiau
afnmqnnusrsgouonrteeitiweexfanettraxdhrtomfixnconteolxortayhsrxoieikaoex,ColumnarTransposition,0.06142410015649452,oentrxaif
otnamkeaengtygpnsfottdavmomserinsnnsiiseexriaitahiriafmigodmieinlgehdn,ColumnarTransposition,0.06583850931677018,ineatmsog
eisdhetnfnstaxreenthyeoinhextfnewarhitdmarhotcateeuhiipaerhostbgseagpn,ColumnarTransposition,0.06790890269151138,ethnaisro
immoeriseantiofdixopsicrsheraanoihessaenlsnasiicllnalttynsyotsbhntivuaek,ColumnarTransposition,0.06416275430359937,isaneotlr
nseiiisetsesblexaavltdahispewftxdeaktfkxbrrelcsxhecbetwxcrtuattxoefsluhxnpeniiox,ColumnarTransposition,0.05917721518987342,etxsialnb
wtcoeriiusacestxjtynveaxelgtpatxninhagyxiairstnngmdoaaexdinermrxmpiflnaxtrtaeigx,ColumnarTransposition,0.060126582278481014,atixenrgs
onwyhycoiuxortnposaftttdhaauepdwxrhroitilnhxhsesrglaoixwaomtmnegoxetitthfbitx,ColumnarTransposition,0.05468215994531784,tohixanre
pjbhivovirpoihicvpfnerusetefeeotnohideoyrtgorrimxdhsfuccnieodgxtuotsux,ColumnarTransposition,0.0525879917184265,oierthupv
nsotprtaeictxdnmrgaiinnomgiiyaopnrgduixauccrhghuwttxigbniaahrstoineytnrseaahmn,ColumnarTransposition,0.05960705960705961,niatrgohs
rancsatclxoktakneoyxeioenurlsxosehsiannagtocamfsdxtmfsofeaudfsseilgtfnnsroslokex,ColumnarTransposition,0.05949367088607595,soanetxfl
